#{"t_start": 1598508025.4776108, "env_id": "Pendulum-v0"}
r,l,t
-243.420758,200,135.074898
-246.220242,200,135.633887
-272.895894,200,136.234743
-1.618022,200,136.838933
-123.970503,200,137.474253
-128.101935,200,138.058016
-128.329643,200,138.664921
-118.071276,200,139.234644
-233.89504,200,139.783197
-124.097919,200,140.313777
-246.254398,200,140.87226
-122.257248,200,141.404269
-119.248032,200,141.951804
-125.309264,200,142.506228
-360.223755,200,143.0546
-125.354537,200,143.58917
-370.98837,200,144.12152
-225.117133,200,144.659418
-225.489428,200,145.205951
-128.429748,200,145.766789
-126.152409,200,146.323234
-122.651542,200,146.87562
-3.451757,200,147.424153
-122.507657,200,147.962717
-7.129981,200,148.501652
-129.465639,200,149.04021
-255.439193,200,149.578865
-124.16988,200,150.128194
-120.8361,200,150.659921
-122.47285,200,151.190981
-127.394858,200,151.731122
-127.4069,200,152.27881
-125.92639,200,152.832121
-340.321534,200,153.368338
-127.131309,200,153.905478
-5.264184,200,154.439152
-6.55354,200,155.001116
-241.613877,200,155.530225
-229.384204,200,156.071778
-119.897699,200,156.614427
-124.209111,200,157.165057
-7.902889,200,157.692816
-124.90645,200,158.222399
-120.580431,200,158.761493
-122.651274,200,159.320173
-227.822241,200,159.883664
-121.031436,200,160.43381
-117.568609,200,161.017098
-242.174696,200,161.577599
-6.277307,200,162.170025
-4.422105,200,162.731051
-119.893805,200,163.266117
-239.123283,200,163.828143
-126.014201,200,164.361778
-123.38932,200,164.91095
-118.111733,200,165.455216
-126.409735,200,166.003864
-121.530206,200,166.563638
-1.895894,200,167.409544
-120.787808,200,167.956307
-121.431865,200,168.521753
-2.354444,200,169.099727
-228.131999,200,169.69065
-237.46793,200,170.221975
-122.19439,200,170.756693
-121.500108,200,171.289757
-122.628707,200,171.817858
-226.913144,200,172.348449
-115.801132,200,172.894669
-231.516857,200,173.427591
-310.52734,200,173.96176
-233.393202,200,174.488325
-114.417485,200,175.019468
-117.401706,200,175.543962
-122.526119,200,176.080527
-236.185857,200,176.618723
-239.478921,200,177.156186
-120.217289,200,177.678788
-126.15727,200,178.207908
-128.203773,200,178.740587
-228.985967,200,179.276124
-117.848515,200,179.853305
